,name,location,about,tags,overallRating,overallRatingCnt
912,Paragon,"290 Orchard Road The Paragon, Singapore 238859 Singapore","""Ideal for designer and luxury items, Paragon is an upmarket shopping mall with 200 stores and six levels. Situated on bustling Orchard Road, it has luxury goods retailers like Miu Miu, Gucci, Alfred Dunhill and Salvatore Ferragamo, and fashion labels like Armani Exchange, Diesel, Escada, G-Star, and Miss Sixty that call Paragon home. Certainly a fashionista’s paradise, there is also a mixture of other labels here, including sportswear brands like Nike, Adidas, Asics, and Pan West. Kids will be thrilled with the selection of toys and clothes at Paragon Junior and Toys ‘R’ Us. """,Speciality &amp; Gift Shops,4.0,271
913,Okdodoo,"138 Robinson Road Oxley Tower Oxley Tower, #03-31, Singapore 068906 Singapore","OKDODOO (aka OK Do it Do it) is a small down-to-earth gallery specializing in musical boxes and gifts, hidden in Singapore's financial district. ​ We are small but we probably have the widest selection of musical boxes in Singapore. We conduct musical box workshop for you to design your own music box in different style and music. It can just yourself, with friends, family or someone you love.",Paint &amp; Pottery Studios,5.0,44
914,Bath Culture Foot Therapy,"59 Temple Street Chinatown, Singapore 058604 Singapore","At Bath Culture, the timeless art of inspiring health and inner well-being has been perfected. Warm up your body with a soothing foot bath served in a traditional wooden tub, ideal after a hard day’s work. Followed by an oriental foot massage, feel your muscles being kneaded and the tension seep away from your body as you drift off to soothing oriental music and enter a realm of blissful happiness and total relaxation.",Spas,4.5,202
915,28 Hong Kong Street,"28 Hongkong Street, Singapore 059667 Singapore",,Wine Bars,4.5,307
916,Wan Lin Healthcare Centre,"149 Rochor Road, Fu Lu Shou Complex #02-07/13/14/15, Singapore 188425 Singapore","Located in Bugis, Wan Lin provides a natural approach to better health through massages. Founded in 2001 by Mr Andrew Lim, certified instructor of Rwo Shur Health Method and alumni of Rwo Shur International School, Wan Lin was born with a mission to deliver quality massages with a culture that provide genuine care, and an environment that is safe and secure for the best massage experience. With the expertise of more than a decade in the massage industry, Wan Lin honors the selection of skilled therapists that can be trusted to deliver individual massage treatments crafted to enhance your senses, relieve your tension and improve your overall well-being, whether you are new to massage or a long time wellness enthusiast.",Spas,5.0,55
917,Chinatown Street Market,"Chinatown, Pagoda Street, Trengganu Street, Sago Street, Smith Street, Singapore 050005 Singapore","Take yourself back in time at the vibrant Chinatown Night Market and scour through a rich variety of wonderful items like dragon candles, street opera masks, traditional clothing and Chinese calligraphy.",Speciality &amp; Gift Shops,4.0,635
918,Natureland ION,"2 Orchard Turn #03-19 Ion Orchard ION Orchard, Singapore 238801 Singapore","Natureland ION Orchard is an award-winning Massage &amp; Spa centre in Singapore. Voted as Singapore Enterprise 500, Excellence in Service Award, Singapore Prestige Brand Award for multiple years, Natureland is the place to go to when you're feeling tired and tense. We offer a suite of spa services ranging from Foot reflexology, Body massage, 5-in-1 massage and many more.",Spas,5.0,53
919,Indulgence Beauty Centre,"10 Anson Road International Plaza #02-58 International Plaza, Singapore 079903 Singapore","Indulgence Beauty specialise in providing excellent service for beauty, skin care and the best extraction facial treatments in Tanjong Pagar Singapore. Indulgence Beauty is where the world of beauty meets some of the best advanced technology available. As we only use the most effective products from MD Dermatics Skin Care and advanced technologies, we have treated a variety of different skin imperfections and conditions. From skin problems like acne scars, dull skin to ageing skin, we have a broad range of various facial treatments to help revitalise your skin. We are passionate about helping you to restore your skin to optimal skin health that the average beauty salons in Singapore cannot achieve. With our extensive experience and knowledge in skin health, coupled with the latest advancements in skin science, you will be in the very best of hands. Our excellent results are easily apparent, with many satisfied customers leaving positive reviews regarding our services.",Spas,5.0,64
920,Bugis Junction,"200 Victoria Street Bugis Junction Nearest MRT: Bugis, Singapore 188021 Singapore","Bugis Junction has a mixture of shopping options to enthral even the most seasoned of shoppers. Part traditional mall, part open-air shopping district, Bugis Junction is one of the few malls in Singapore that has sidewalk cafes and shophouses sitting alongside gleaming new retail palaces.",Speciality &amp; Gift Shops,4.0,734
921,Cat Cafe Neko no Niwa,"54A Boat Quay Level 2, Singapore 049843 Singapore","The first cat cafe in Singapore! Enjoy a cuppa and cake in the company of 13 adorable cats. We recommend for you to make a reservation and note that minimum age for entry is 7 years old. *Opening Hours* Mon, Wed to Fri: 11am to 10pm Sat, Sun &amp; PH: 10am to 10pm Closed on Tuesdays",Game &amp; Entertainment Centers,4.5,246
922,Bar Rouge Singapore,"2 Stamford Road Swissotel The Stamford Level 71, Singapore 178882 Singapore","Please be informed that Bar Rouge Singapore is still currently closed, but we look forward to welcoming you again when we reopen our doors. Do stay tuned for updates via our social platforms. Shanghai’s indisputably iconic nightlife for the destination glitterati – Bar Rouge, makes its inaugural global debut at Swissotel The Stamford, Singapore. Perched 71 floors above the buzzing city with an unobstructed view of Marina Bay area, Bar Rouge Singapore offers an intimate clubbing experience aimed at evoking one’s visual, audio and aural senses.",Bars &amp; Clubs,4.5,121
923,Annabelle Skin,"1 Coleman Street The Adelphi #02-42 The Adelphi, near City Hall MRT exit B, Singapore 179803 Singapore","Annabelle Skin (established in 1994), provides personalised treatments for both facial and body care. We have established a strong reputation of catering to the skin’s needs throughout different age group, amongst male and female. Annabelle Skin is highly-rated by many customers and is the best place to relax and distress! From dehydrated skin to pimple or acne troubles, or soothing sensitive skin, you can be assured that we customize the treatment catered to your personal skincare needs. Our experienced and skilled beauticians will provide a comfy and soothing environment for an enjoyable pampering session.",Spas,5.0,53
924,PortaSpa,"500 Upper Bukit Timah Road Lee Kuo Chuan Old Peoples Home Inside Salvation Army Building, B1, Singapore 678106 Singapore",Visit Spore's 1st Nature Spa to experience something different from the traditional hand massage spas. Nature SPA uses technologies to efficiently transfer heat within 10 mins into your deep tissues to enable you to sweat out toxins to relieve your aches and pain while taking a power nap! Open daily from Mon to Thu &amp; Sat : 12 noon to 5pm. Fri : 12 noon to 8pm. Closed on Sundays &amp; local Public Holidays. If Payment at Outlet : CASH only,Spas,4.5,106
925,My Cozy Room Boutique Spa @ Cairnhill,"56A Cairnhill Road The Light @ Cairnhill Behind Orchard Paragon Shopping, Singapore 229667 Singapore","Welcome to My Cozy Room Boutique Spa, an award-winning facial boutique spa located in the heart of Orchard Road in Cairnhill &amp; our newly opened branch at Devonshire. Your Cozy experience will unfold in the tranquil charms of a romantic and plush heritage house, a mini oasis where you can enjoy our specially designed range of facial treatments, targetted for clogged pores, acne and pimples. The quintessential Cozy experience is ​our​ signature bespoke facial, a holistic and effective treatment beloved even by celebrities and beauty queens for its immediate and long-lasting results. Specialising in its gentle and thorough extraction, each session is tailor-made to help you achieve healthy, beautiful skin. We use only products from the internationally-renowned German top skincare brand BABOR and Dr Spiller– unmatched beauty pioneers with a focus on natural products and innovative active ingredients that will target all your skin concerns.",Spas,4.5,108
926,Kinokuniya Bookstore,"391 Orchard Road Ngee Ann City Floor 04-20/20A/20B/20C/21 Takashimaya Shopping Centre, Singapore 238872 Singapore",,Speciality &amp; Gift Shops,4.5,133
927,Bugis Street,"4 New Bugis St, Singapore 188868 Singapore","Bugis Street market has now been transformed into a mecca for shoppers and bargain-hunters. This market has just about everything you could want – CDs, souvenirs, t-shirts, shoes, jewellery, knick knacks and other fashion items.",Speciality &amp; Gift Shops,4.0,"1,927"
928,Museum Of Ice Cream Singapore,"100 Loewen Road, Singapore 248837 Singapore","Laugh, play, sing, and dance as you explore more than 14 multi-sensory installations! Our talented #TeamMOIC guides will entertain and delight as you journey through MOIC, serving up UNLIMITED sweet treats along the way. Make your time at MOIC even sweeter with special add-ons, complete with goodies for you to take home!",Speciality Museums,4.5,58
929,The Custom Bites,"12 Lorong Bakar Batu, Singapore 348745 Singapore","The Custom Bites is an artisan bakery well known for beautifully customised desserts. We specialise in fondant and royal icing sugar cookies, and are also certified instructors in the art of Korean bean paste flower cakes decorating. We love hosting workshops and welcoming people from around the world to experience the art of pastry decorating in our beautiful instagrammable fairylights studio.",Paint &amp; Pottery Studios • Cooking Classes,5.0,39
930,Ultimate Drive,,"Ultimate Drive (subsidiary of supercar and luxury auto distributor EuroSports Global Ltd SGX Symbol-5G1) is pleased to bring Supercars to the mass market so that “Everyone can drive a Supercar”. Push yourself to the limit behind the wheel of a red Ferrari California or a orange Lamborghini Gallardo Spyder. Warm up in a fierce supercar on a Formula 1 circuit before taking it to the freeway for a 15min to 60min performance drive. Start your adrenaline-pumping experience at Marina Bay Sands. Relive your childhood dream and choose to ride in a Ferrari or Lamborghini. No racing experience is required, but if you don't feel like driving, then relax in the passenger seat and allow an experienced professional driver to show you what these cars can do. Follow the F1 route and spot some of the famous structures in Singapore such as The Esplanade, Anderson Bridge, City Hall and the Supreme Court. Then enter the East Coast Parkway, Kallang-Payar and Central expressways as you take your powerful car along the city's coastline, then drive all the way back to your original departure point, and at the end of your ride, collect a certificate and a a memorable recording of your trip captured by our on board dual HD cameras,for only $58. The experience is with you forever. Our fleet of supercars: Lamborghini Gallardo, Lamborghini Huracan, Lamborghini Aventador, McLaren &amp; Ferrari Street Circuit Tour (15 minutes) Self-Drive: $298* | Driven: 20% discount Street to Freeway Tour (30 minutes) Self-Drive: $498* | Driven: 20% discount Ultimate Freeway (45 minutes) Self-Drive: $638* | Driven: 20% discount Singapore Explorer (60 minutes) Self-Drive: $798* | Driven: 20% discount",Taxis &amp; Shuttles,4.5,268
931,Hologate Singapore,"107 North Bridge Road #04-K01 Funan, Singapore 179105 Singapore",The latest addition to Singapore VR scene is the famous Hologate that serves more than 300 locations worldwide and 5 million players per year. The advanced cinematic graphic technology of Hologate creates a realistic environment with zero motion sickness. It is also the first ever multiplayer virtual reality attraction that caters to players of any age in Singapore.,Game &amp; Entertainment Centers,5.0,37
932,Canvas Singapore,"20 Upper Circular Road The Riverwalk #B1-01/06 The Riverwalk, Singapore 058416 Singapore","CANVAS Singapore is a lifestyle and entertainment venue catering to the discerning and creative-minded; a place to come together to celebrate creativity and engage with the arts, culture and music.",Bars &amp; Clubs,5.0,87
933,Lost Sg,"1 Sophia Road Peace Centre Floor 03 Unit 01 02 03, Singapore 228149 Singapore","Singapore's Next Generation Real Escape Game, LOST SG has five different themed rooms that are based on some of the world's greatest occurrences (e.g. Japan's Suicide Forest &amp; etc). Conveniently located in downtown Singapore, LOST SG takes Real Escape Games to the next level of immersion with its technology-heavy setup. Playable from 2 pax and above, come experience escape games like never before!",Escape Games,4.5,260
934,Mahaco Impex,"51 Arab Street Kampong Glam Shop Houses, Singapore 199748 Singapore",,Speciality &amp; Gift Shops,5.0,94
935,Clubhouse SG,"168 Robinson Road #01-07 Capital Tower Capital Tower, Singapore 068912 Singapore","PLAYING GOLF? ESCAPE THE HEAT, AVOID THE RAIN! Come down and play an exciting round of golf on any of our 100 World Class Courses, including the likes of Pebble Beach and St. Andrews. Our lovely caddies won't pass you your clubs, but they'll hand you a chilled pint, a measure of 18-year-old single malt or whatever you desire from our fully stocked selection of drinks displayed behind our 8 meter long bar. SERIOUS COFFEE FOR THE SERIOUS MEETING. We've been told that we serve one of the best hand-crafted coffees Singapore has to offer, and we agree! Clubhouse is the perfect place to host your business meetings - call to make reservations. HUNGRY? Try one of our famous bacon buttees, salads/soups, or gourmet pies! Our friendly staff, great venue and state of the art golf simulators will make any lunch, drinks, business function, or private party memorable! Nearest MRT: Tanjong Pagar Nearest Bus: 10/97/100",Bars &amp; Clubs • Golf Courses • Game &amp; Entertainment Centers,4.5,139
936,Long Bar,"328 North Bridge Road Raffles Shopping Arcade #02-01 Raffles Arcade, Singapore 188719 Singapore","The historic Long Bar returns fully restored and continues its proud tradition as the Home of the Singapore Sling. The famous counter shines like new amidst decor that marries architecture and contemporary plantation-inspired motifs. Long Bar was located at Cad’s Alley in the early 1900s. At a time when improved rail and road systems brought rubber and palm oil plantation owners over to Singapore from Malaya every weekend, it was known as the ‘Rendezvous of Planters’. The earthy decor of the two-storey Long Bar is inspired by Malayan life in the 1920s. The deep, rich colours and lush greenery transport patrons to the edge of a tropical plantation. In keeping with the relaxed atmosphere, guests are invited to brush peanut shells off the table and bar counter to the floor. This is quite possibly the only place in Singapore where littering is encouraged.",Bars &amp; Clubs,3.5,"3,014"
937,Smoke &amp; Mirrors,"1 St. Andrew's Road National Gallery Singapore #06-01 National Gallery, Singapore 178957 Singapore","Perched on the rooftop of the National Gallery Singapore, Smoke &amp; Mirrors is known for its spectacular panoramic views of Singapore’s skyline and creative cocktail programme. The destination rooftop bar sets out to elevate the cocktail experience by exploring classic drinks with experimental new twists. Guests can expect innovative menu concepts driven by modern techniques and unique flavour combinations to artfully challenge perceptions. With an emphasis on thought-provoking flavour profiles, Smoke &amp; Mirrors continues to entice curious imbibers and cocktail aficionados alike.",Bars &amp; Clubs • Wine Bars,4.0,503
938,Artist Tique Co Art Studio,"114 Lavender Street Ct Hub 2 05-77 CT Hub2, Singapore 338729 Singapore",,Paint &amp; Pottery Studios • Lessons &amp; Workshops,5.0,33
939,The Tintin Shop,"28 Pagoda Street Exit A from Chinatown MRT, Singapore 059188 Singapore","THE OFFICIAL TINTIN SHOP IN SINGAPORE! Greetings to all TINTIN fans!!! It is with great pleasure I announce the arrival of a Belgian icon to Singapore: ""TINTIN is here in Chinatown!!"" The most comprehensive array of TINTIN merchandise and the largest TINTIN shop in the world. We are distributors to the other parts of Asia as well. So come on down and enjoy a small enclave of Belgium in Sunny Singapore.",Speciality &amp; Gift Shops,4.0,117
940,Kinki Restaurant + Bar,"70 Collyer Quay Customs House #02-02, Singapore 049323 Singapore","A hip-urban Japanese restaurant and bar that serves unique, high-quality Japanese cuisine and cocktails with an impressive view of the Marina Bay waterfront and skyline.",Bars &amp; Clubs,4.0,503
941,SKAI Bar,"2 Stamford Road Swissotel The Stamford, Singapore 178882 Singapore","Wine and dine your way to a perfect sunset, whilst taking in the unparalleled views of the Singapore skyline, 70 floors above the city. You can also indulge in a specially curated menu by Executive Chef, Paul Hallett. Noteworthy highlights include the Charcuterie Platter and Black Angus Beef Tartare. Meat lovers, treat yourself to the perfectly grilled Westholme Wagyu Flat Iron while seafood fans take delight with the tasty Crab Spaghetti. Take A Virtual Tour: http://bit.ly/36UHqQi",Bars &amp; Clubs,5.0,40
942,Otah &amp; Friends,"9 Sentul Crescent SAFRA Punggol Level 3 Concierge Counter, Singapore 828654 Singapore","From the creators of The Bubble Tea Factory, Southeast Asia's first bubble tea themed attraction, comes Singapore’s first otter-themed escapade. Otah &amp; Friends combines the nostalgic fun of playing hide-and-seek as a child, with the instagrammability of The Bubble Tea Factory. An episodic adventure like no other, keep your eyes peeled for the upcoming volumes to come! Currently closed temporarily! Keep a lookout on our social media for the latest updates!",Other Fun &amp; Games,5.0,36
943,Joyre TCMedi Spa,"3 Temasek Boulevard Suntec City Mall #02-498/499 Suntec City Mall Tower 2, Singapore 038983 Singapore",,Spas,4.5,154
944,Native,"52A Amoy Street, Singapore 069878 Singapore",,Bars &amp; Clubs,4.5,70
945,Facia Ginza Singapore (Orchard Branch),"402 Orchard Road Delfi Orchard #04-20, Delfi Orchard, Singapore 238876 Singapore","Originating from Tokyo, Facia's original and award-winning Small Face Care Massage is widely recognized as the most effective technique for women to achieve V-shape face, Facial Symmetry &amp; Radiant Skin. Above all, immediate results can be obtained from a single session. It is non-invasive with zero downtime and no side-effects.",Spas,5.0,34
946,The Art Nooq,"195 Pearl's Hill Terrace #01-58, Singapore 168976 Singapore","A little nooq (nook), converted into an art jamming studio, offering private and shared art jamming, art classes and artisan workshops, located just 5 minutes away from Chinatown MRT. Great for beginners to experts of all ages. We do commission paintings and sell stuff as well!",Paint &amp; Pottery Studios • Art Galleries,5.0,27
947,Zero Latency Singapore,"3 Temasek Boulevard Suntec City Mall #03-346/347, Singapore 038983 Singapore","Zero Latency Singapore is one of the world's best free-roam multiplayer virtual reality experience, and the largest virtual reality gaming arena in Singapore. Featuring state-of-the-art, award-winning technology from one of the pioneers in VR entertainment, players can move around freely, as well as talk, interact and strategize with their team-mates in real time. Choose from a variety of exciting collaborative and competitive multiplayer games and step into an immersive alternative world.",Escape Games • Game &amp; Entertainment Centers,4.5,87
948,Hat of Cain,"12 Joo Chiat Terrace, Singapore 427183 Singapore","Established in 2012, Hat of Cain is a homegrown Singapore brand specialising in Panama hats. Our hats are ethically sourced and hand-woven​ in Ecuador. Located in the charming neighbourhood of Joo Chiat, we carry over 40 hat styles, a selection of linen shirts and offer hat repair and restoration services. A curated store not to be missed for a personal hat fitting session.",Speciality &amp; Gift Shops,5.0,38
949,Changi City Point,"5 Changi Business Park Central 1 Changi City Point, Singapore 486038 Singapore",,Speciality &amp; Gift Shops,4.0,105
950,Parkway Parade,"80 Marine Parade Road Parkway Parade Parkway Parade, Singapore 449269 Singapore",,Speciality &amp; Gift Shops,4.0,113
951,The Nail Social,"42A Haji Lane 2nd Floor, Singapore 189235 Singapore","The Nail Social is a lifestyle nail salon that offers manicure, pedicure and foot reflexology services, enjoyed with a personal iPad pre-loaded with movies, games and magazines. We are a socially-conscious salon that was established with the aim of training and employing local underprivileged women, so as to help them progress from a position of vulnerability to security and self-sufficiency. Now available in two convenient locations - Haji Lane (Bugis) and Kreta Ayer Road (Chinatown)!",Spas,4.5,82
952,Chinois Spa,"11 Canning Walk Hotel Fort Caning Level 1, Singapore 178881 Singapore","Chinois Spa is a dedicated well-being company that believes in a simple philosophy : ‘ To provide outstanding treatments and programs for a healthy well-being using the best premium products available ’. We work with a team of professional well-trained therapists and with an honest brand of 100% natural skincare, made with only the finest quality natural ingredients. Many of the products carry the COSMOS-standard certification. Nestled within Hotel Fort Canning, Sheraton Towers Hotel and Hilton Hotel in Singapore, Chinois Spa is a multi-outlet urban have imbued with tranquil settings for rejuvenating spa therapies. With a buffet of services ranging from Chinois Signature Massage, Deep Tissue Massage, Swedish Massage, body polish, jacuzzi bath, organic facial treatment, etc., Chinois Spa are welcoming our guests to embark on a journey of relaxation and restoration that promote an overall improvement of the body.",Spas,5.0,39
953,Sabaai Sabaai Thai Massage,"49A Boat Quay Raffles Place, facing the Singapore River, Singapore 049838 Singapore","We are an established Thai massage boutique specializing in traditional Thai massage , located in the mid of the bustling city with great environment, river view &amp; one of the must visit tourist spot in Singapore . Started in 2009 &amp; have since growing and reputed for our skill.",Spas,4.5,74
954,Lush Spa,"80 Mount Pleasant Road Singapore Polo Club Singapore Polo Club, Singapore 298334 Singapore","Lush Spa welcomes discerning individuals who appreciate tranquil spa retreats in a unique and idyllic location away from shopping malls, business districts, heartlands and hotels.Tropical chic ambience with a view of horses trotting by amidst lush settings. Every suite is self-contained with a shower that comes with steam facilities. 5 Single suites that can be converted into couple suites &amp; 1 couple suite with attached hydrobath.",Spas,4.5,63
955,BooksActually,"No. 9 Yong Siak Street Tiong Bahru Estate, Singapore 168645 Singapore","BOOKSACTUALLY (est. 2005) is an independent bookstore specializing in Fiction and Literature. This includes Poetry, Essays, Literary Journals, alongside obscure, critical works and antique/rare editions. We also stock titles from various subjects we like: History, Biography, Current Affairs, Human Sciences, Math/Natural Sciences, Travel Narrative, Food Narrative, Aesthetics, Music and Film. BooksActually also houses the largest collection of Singapore literary publications including some out-of-print titles.",Speciality &amp; Gift Shops,4.5,86
956,Shanghai Dolly,"3B River Valley Road The Foundry #01-01 Clarke Quay, Singapore 179021 Singapore","Shanghai Dolly has made its name as the leading and hottest Mando-pop live music venue in town with a power-packed lineup. A five-in-one concept entertainment complex – we have the Beer &amp; Burger Bar, WanBao Karaoke Bar, Dolly Kitchen, Darts Lounge, Tiger TNP Sports Bar and Shanghai Dolly main-hall all housed under one roof.",Bars &amp; Clubs • Karaoke Bars • Dance Clubs &amp; Discos,4.5,69
957,The Library,,,Wine Bars,4.5,115
958,ZIIIRO Singapore,"391A Orchard Road Ngee Ann City Tower a Level 3 Mens Department, Singapore 238873 Singapore","ZIIIRO Flagship Store (Singapore) - The FIRST ever ZIIIRO flagship to make it's Global première in Singapore. We make unique, minimalist and beautiful watches. Our first watch, The ZIIIRO Gravity, was featured on famous web magazines such as Engadget, Gizmodo and Yanko Design after Robert Dabi (a.k.a. chief designer) showed his first watch concept on the internet. Overwhelmed by the positive response, Robert and Derick realized that with the ZIIIRO brand they created a perfect room for subsequent ideas to become true. If you want an uncommon and stylish piece of art on your wrist, this is the watch for you.",Speciality &amp; Gift Shops,5.0,56
959,The Projector,"6001 Beach Road Golden Mile Tower, Singapore 199589 Singapore",,Movie Theaters,4.5,54
960,IB HQ,"774A North Bridge Road, Singapore 198742 Singapore","The Indigenous Bartender; now has a space to showcase products and cocktails that have been meticulously researched and honed over the past couple of years for a memorable and unique experience of flavours. Fans of Kamil Foltan’s cocktails are in for a treat as the drinks at IB HQ are created through precise techniques and the pairing of unusual and delightful flavours that have become a staple of his style. ”I love to explore raw ingredients, new flavours and their versatility as well as push boundaries in the bar industry. I can’t wait to observe our guests reactions when they taste our cocktails. They should be prepared to expect the unexpected!” says Kamil.",Bars &amp; Clubs,5.0,30
961,Damai Spa,"10 Scotts Road Grand Hyatt Singapore Grand Hyatt Singapore, Singapore 228211 Singapore","In light of the current COVID-19 situation in the region, we have implemented recommended precautionary operational measures to ensure a safe environment for all. These measures have been validated by an independent audit led by a government-appointed agency, and Grand Hyatt Singapore has been awarded the SG Clean Quality Mark by the Singapore Government. Spanning over 78,000 sq ft, Damai at Grand Hyatt Singapore, is a haven for the body, mind and soul. Damai which means ‘peace’ features authentic local spa treatments reflecting the main cultures of Singapore – Chinese, Malay and Indian -and their traditional healing philosophies. There are 11 spa treatment rooms including a couple's suite with unique water features.",Health Clubs • Spas,4.5,51
962,Cool Cats,"32 Beach Road The South Beach South Beach Tower, Singapore 189764 Singapore",Cool Cats is a swanky and stimulating concept that spearheads another dimension in Singapore's cocktail scene. Discover craft cocktails inspired by key moments in jazz music history while enjoying live entertainment by international artistes. There's nothing like some fine drinks and that beat on lock!,Bars &amp; Clubs • Jazz Bars,4.5,58
963,Need Massage,"68 Thomson Road, Singapore 307587 Singapore","Need Massage is conveniently located at Novena. We offer therapeutic massages and foot reflexology in a lush, luxurious setting. Come relax and rejuvenate yourself!",Neighborhoods • Onsen Resorts • Spas,5.0,34
964,The Escape Artist,"52 Telok Blangah Road Telok Blangah House No. 01-01, Singapore 098829 Singapore","At The Escape Artist, we take pride in being pioneers and breakers of new ground, being the first to bring the fun and excitement of real-life escape room games in Singapore. Today, we are one of - if not the best - operators of escape room games in the market, and we incorporate distinctive themes and plots into our puzzles to offer a truly immersive experience like no other.",Escape Games,4.5,100
965,Spiffy Dapper,"73 Amoy Street Second Floor, Singapore 069892 Singapore","We like to think we make some half-decent drinks, but that is when we are sober. Your first couple of drinks might be crap but we guarantee that you everything will taste great after the fifth drink. We are on the Second Floor at 73 Amoy Street. Come up those dingy stairs and there is a chance that we might be open and sober enough to serve.",Bars &amp; Clubs,4.0,118
966,Clarke Quay Central,"6 Eu Tong Sen Street The Central, Singapore 059817 Singapore",,Speciality &amp; Gift Shops,4.0,173
967,Dakshaini Silks,"13 Upper Dickson Road Opposite New Woodlands Restaurant, Near Tekka Market, Singapore 207473 Singapore",Get to know Indian Fashion. Curated Silk Heritage Centre and Indian Fashion Retailers. Learn how to tie a Saree and take some pictures.,Speciality &amp; Gift Shops,5.0,31
968,J Studios,"31 Haji Lane, Singapore 189224 Singapore","J Studios Haji Lane Bugis Flagship Store is a Bernard Cassiere Paris Premium Salon in Singapore located in Central Singapore Downtown to provide one-stop shop beauty services and products. We offer wide range of beauty services from our Award-Winning Signature Oxygen facial treatment, World Class Bernard Cassiere Spa Facial, hair removal service, body slimming treatment, hair care treatment, to nail &amp; makeup services. Try our Bernard Cassiere skincare and Hovita Aromatherapy skincare products, and J'Aime artisan fragrance.",Spas,5.0,29
969,Lantern,"80 Collyer Quay Clifford Pier The Fullerton Bay Hotel, Singapore 049326 Singapore","The Lantern rooftop bar earned its evocative name from Clifford Pier’s historic Chinese name, ‘Red Lantern Pier’. The pier, which was the key landing point for Singapore’s early immigrants and seafarers, was lit by red lanterns that provided illumination for the shoreward journey along Marina Bay. Framed by an infinity lap pool and green landscaping, the stylish rooftop bar offers dazzling panoramic views of Marina Bay waterfront and the city skyline. Chill to sensual beats and savour gourmet snacks, fine champagnes, wines and signature cocktails.",Bars &amp; Clubs,4.0,119
970,Prime Aces Limousine,,"Prime Aces Limousine Offers Premium Ground Transportation in Singapore which includes transfers between Singapore and Malaysia. Our services include: • Hourly Booking • Airport Transfers • Point to Point Transfers • Wedding bookings Chartering of following vehicles: • Business Vans(6 Pax) - Toyota Alphard /Vellfire • Business Vans(7 Pax) – Mercedes Viano ( x 10) • Business Sedans - Mercedes E -Class / BMW 5 Series ( x 10) • First Class Sedans - Mercedes S-Class W221 ( x 5) • COMBI Mini Bus - 12 Seaters • Coach Bus - 40 Seater We also do chartering of vehicles at events below: • Financial Roadshows • Singapore Airshows • ASEAN Defence Senior Officials Meeting Working Group • International Champions Cup 2018 • Navis Private Equity Annual Investor Day 2017 ""We look forward to be your preferred limousine provider in Singapore""",Taxis &amp; Shuttles,5.0,31
971,Good Luck Beer House,"9 Haji Lane, Singapore 189202 Singapore","Good Luck Beerhouse is a cosy 12-tap Craft Beer and Dim Sum Bar housed amidst an eclectic mix of shophouses along Haji Lane. Dedicated to the local craft beer community, we ensure at least half of our taps are always exclusive to Singapore craft beers. Together with 3 fridges full of bottles and cans, we have over 50 varieties of bottled craft beers, ciders and alcoholic beverages from all over the world, curated to reach a wide audience of beer drinkers. Come and experience the widest range of craft beers on Haji Lane and #Supportlocal when you #Drinklocal",Bars &amp; Clubs,4.5,34
972,Dempsey Hill,"8 Dempsey Rd. 8 Dempsey Hill, Singapore 247696 Singapore",,Speciality &amp; Gift Shops,4.0,104
973,At-Sunrice GlobalChef Academy,"28 Tai Seng Street Sakae Building Level 5, Singapore 534106 Singapore","The love of food can also be defined as an emotional connection - one that only you truly understand, for each person's relationship with food is as unique as you. At-Sunrice is here to help you start this amazing culinary connection from the very beginning. Introducing EasyChef Lab: a series of short cooking classes that will take you on an inspiring East meets West culinary journey, igniting your passion and enhancing your expertise in the world of culinary arts. Like the GlobalChef Academy programmes, the EasyChef Lab approach is hands-on and interdisciplinary. As you create your very own dish, our instructors will walk you through the technology, ingredients and culture that gave rise to its cuisine. Our goal is to deliver the fundamentals, and guide each guest's personal exploration and experimentation in the kitchen labs. You will be acquainted with the culinary world through various themes.",Cooking Classes,5.0,29
974,FunEmpire,"5B Guillemard Road Wing Fong Building Level 3 Wing Fong Building, Singapore 399685 Singapore","FunEmpire is the world’s best experiences company that creates unique and fun experiences for team building, celebrations, gatherings and travel. We have successfully organized more than 20,000 events for over 1,000,000 happy clients and received 2,000+ 5-Star Reviews. We provide the world's most unique activities such as Saber Tag®, SaberFit®, Bubble Bump Soccer, Laser Tag, Combat Archery Tag, Poolball™, Ninja Tag™ and Bullet Ball™. We offer exhilarating experiences for all age groups. Our clients include Facebook, Apple, Google, Disney, Ministry of Education, and many more. We have worked with a diverse clientele ranging from MNCs, SMEs, governments, universities, schools and consumers. FunEmpire is the only events and team building company in Southeast Asia that is ISO 9001:2015 Certified, the world's gold standard for Quality Management. FunEmpire has also been featured in over 200 media outlets (e.g. Forbes, TimeOut, Channel News Asia)",Game &amp; Entertainment Centers,4.5,43
975,Kenko Reflexology and Fish Spa,"2 Bayfront Avenue Marina Bay Sands #01-29B Marina Bay Sands, Singapore 018972 Singapore","Foot Reflexology, Body Massage, Shoulder Massage, Head Acupressure Massage, Acu-Meridian Massage, Ear Candling, Fish Spa, etc. KENKO Wellness Spa the largest Chain of Foot Reflexology and Spa in Singapore. Founded on 1991 and with 20 over years of experiences in the Foot Reflexology and Wellness Spa industry, it had become a signature icon as the best Foot Reflexology and Massage services in Singapore.",Spas,4.5,66
